 1, [1],[[0, -5000, 0], [0, -5000, 0]]
 1, [0, 0.0, 0],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 2, [0, 0.0, 1],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 3, [0, 0.0, 2],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 4, [0, 0.0, 3],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 5, [0, 0.0, 4],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 6, [0, 0.0, 5],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 7, [0, 0.0, 6],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 8, [0, 0.0, 7],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 9, [0, 0.0, 8],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 10, [0, 0.0, 9],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 11, [0, 0.0, 10],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 12, [0, 0.0, 11],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 13, [0, 0.0, 12],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 14, [0, 0.0, 13],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 15, [0, 0.0, 14],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 16, [0, 0.0, 15],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 17, [0, 0.0, 16],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 18, [0, 0.0, 17],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 19, [0, 0.0, 18],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 20, [0, 0.0, 19],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 21, [0, 0.0, 20],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 22, [1, 0.0, 0],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 23, [1, 0.25863117783709066, 1],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 24, [1, 0.4774395070029955, 2],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 25, [1, 0.6578365759666855, 3],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 26, [1, 0.801395894112748, 4],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 27, [1, 0.9098528917413843, 5],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 28, [1, 0.9851049200684119, 6],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 29, [1, 1.029211251225264, 7],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 30, [1, 1.0443930782589883, 8],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 31, [1, 1.0330335151322476, 9],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 32, [1, 0.9976775967233201, 10],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 33, [1, 0.9410322788261005, 11],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 34, [1, 0.8659664381500976, 12],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 35, [1, 0.7755108723204349, 13],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 36, [1, 0.6728582998778533, 14],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 37, [1, 0.561363360278707, 15],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 38, [1, 0.4445426138949663, 16],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 39, [1, 0.3260745420142169, 17],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 40, [1, 0.20979954683965935, 18],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 41, [1, 0.09971995149011006, 19],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 42, [1, 0.0, 20],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 43, [2, 0.0, 0],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 44, [2, 0.4459549599549689, 1],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 45, [2, 0.8265276811105167, 2],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 46, [2, 1.1436789473802467, 3],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 47, [2, 1.3996313037740042, 4],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 48, [2, 1.5968690563978718, 5],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 49, [2, 1.738138272454173, 6],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 50, [2, 1.8264467802414721, 7],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 51, [2, 1.8650641691545726, 8],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 52, [2, 1.8575217896845169, 9],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 53, [2, 1.807612753418587, 10],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 54, [2, 1.0736499024425354, 15],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 55, [2, 0.8638548901237397, 16],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 56, [2, 0.645574312814767, 17],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 57, [2, 0.4246953708728184, 18],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 58, [2, 0.20736702575133592, 19],[0, 0, 0, 0, 0, 0],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 59, [2, 0.0, 20],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
 60, [3, 0.0, 0],[1, 1, 1, 1, 1, 1],[[1, [1],[[0, -5000, 0], [0, -5000, 0]]]],[],0
